operadora,producto,marca,precio_prepago,precio_portabilidad/renovacion,precio_normal,precio_linea_nueva,cuota_arriendo,sku,fecha_extraccion
WOM,Redmi Note 12 Pro 5G Black,Xiaomi,228000,204000,459990.0,204000,16000.0,001.002.2376,2026-05-13
WOM,Redmi Note 12 Pro 5G Blue,Xiaomi,228000,204000,459990.0,204000,23000.0,001.002.2377,2026-05-13
WOM,Redmi Note 12 Pro 5G White,Xiaomi,228000,204000,459990.0,204000,23000.0,001.002.2545,2026-05-13
WOM,Apple iPhone Air 5G 512GB Space Black,Apple,1480800,1360800,1559990.0,1360800,51300.0,001.002.2885,2026-05-13
WOM,ZTE Blade A56 Pro 4G 128GB Grey,ZTE,115200,103200,149990.0,103200,7500.0,001.002.2822,2026-05-13
WOM,Samsung Galaxy A56 5G 128GB Black,Samsung,340800,304800,499990.0,304800,18900.0,001.002.2793,2026-05-13
WOM,Samsung Galaxy S25 FE 5G 128GB Dark Blue,Samsung,619200,499200,799990.0,499200,32750.0,001.002.2848,2026-05-13
WOM,Samsung Galaxy S25 FE 5G 128GB Jet Black,Samsung,619200,499200,799990.0,499200,32750.0,001.002.2964,2026-05-13
WOM,Samsung Galaxy A17 5G 128GB Black,Samsung,182400,158400,229990.0,158400,10600.0,001.002.2845,2026-05-13
WOM,Samsung Galaxy Z Flip7 5G 256GB Jetblack,Samsung,964800,844800,1399990.0,844800,35400.0,001.002.2847,2026-05-13
WOM,Samsung Galaxy Z Flip7 FE 5G 128GB Black,Samsung,818400,698400,1099990.0,698400,31000.0,001.002.2846,2026-05-13
WOM,Xiaomi 15 5G 512GB Black,Xiaomi,624000,600000,999990.0,600000,32800.0,001.002.2773,2026-05-13
WOM,Motorola Edge 40 Neo 5G 256GB Caneel Bay,Motorola,130000,130000,329990.0,130000,13000.0,001.002.2471,2026-05-13
WOM,Motorola Edge 40 Neo 5G 256GB Soothing Sea,Motorola,130000,130000,329990.0,130000,13000.0,001.002.2470,2026-05-13
WOM,Motorola Edge 40 Neo 5G 256GB Black Beauty,Motorola,130000,130000,329990.0,130000,13000.0,001.002.2469,2026-05-13
WOM,Xiaomi 14T 5G 512GB Gray,Xiaomi,356000,320000,599990.0,356000,11500.0,001.002.2666,2026-05-13
WOM,Xiaomi 14T 5G 512GB Black,Xiaomi,356000,320000,599990.0,356000,11500.0,001.002.2667,2026-05-13
WOM,Motorola Edge 50 Fusion 5G 256GB Blue,Motorola,224000,200000,329990.0,200000,14600.0,001.002.2622,2026-05-13
WOM,Motorola Edge 50 Fusion 5G 256GB Pink,Motorola,224000,200000,329990.0,200000,14600.0,001.002.2623,2026-05-13
WOM,Motorola Edge 50 Fusion 5G 256GB Tidal Teal,Motorola,224000,200000,329990.0,200000,14600.0,001.002.2624,2026-05-13
WOM,Apple iPhone 16e 5G 128GB Negro,Apple,676800,556800,699990.0,556800,27100.0,001.002.2767,2026-05-13
WOM,Apple iPhone 16e 5G 128GB Blanco,Apple,676800,556800,699990.0,556800,27100.0,001.002.2768,2026-05-13
WOM,Redmi Note 14 Pro Plus 5G 256GB Black,Xiaomi,314400,285600,529990.0,285600,20600.0,001.002.2752,2026-05-13
WOM,Redmi Note 14 Pro Plus 5G 256GB Blue,Xiaomi,314400,285600,529990.0,285600,20600.0,001.002.2753,2026-05-13
WOM,Apple iPhone Air 5G 256GB Space Black,Apple,1029600,909600,1299990.0,909600,52500.0,001.002.2881,2026-05-13
WOM,Apple iPhone Air 5G 256GB Cloud White,Apple,1029600,909600,1299990.0,909600,52500.0,001.002.2882,2026-05-13
WOM,Apple iPhone Air 5G 256GB Light Gold,Apple,1029600,909600,1299990.0,909600,52500.0,001.002.2883,2026-05-13
WOM,Apple iPhone Air 5G 256GB Sky Blue,Apple,1029600,909600,1299990.0,909600,52500.0,001.002.2884,2026-05-13
WOM,Honor X5c 4G 128GB Black,Honor,110400,98400,,98400,,001.002.2912,2026-05-13
WOM,Redmi Note 14 5G 256GB Black,Xiaomi,268800,220800,349990.0,220800,14300.0,001.002.2748,2026-05-13
WOM,Redmi Note 14 5G 256GB Green,Xiaomi,268800,220800,349990.0,220800,14300.0,001.002.2749,2026-05-13
WOM,Redmi 15C 5G 256GB Black,Xiaomi,168000,144000,209990.0,144000,10600.0,001.002.2833,2026-05-13
WOM,Redmi 15C 5G 256GB Green,Xiaomi,168000,144000,209990.0,144000,10600.0,001.002.2834,2026-05-13
WOM,Apple iPhone 17 Pro Max 5G 512GB Orange,Apple,1804800,1744800,1809990.0,1744800,59500.0,001.002.2873,2026-05-13
WOM,Apple iPhone 17 Pro Max 5G 512GB Deep Blue,Apple,1804800,1744800,1809990.0,1744800,59500.0,001.002.2874,2026-05-13
WOM,Honor 400 Lite 5G 256GB Black Bundle,Honor,309600,273600,399990.0,273600,15900.0,001.002.2804,2026-05-13
WOM,Honor 400 Lite 5G 256GB Black,Honor,309600,273600,399990.0,273600,15900.0,001.002.2779,2026-05-13
WOM,Honor 400 Lite 5G 256GB Silver Bundle,Honor,309600,273600,399990.0,273600,15900.0,001.002.2839,2026-05-13
WOM,Honor 400 Lite 5G 256GB Silver,Honor,309600,273600,399990.0,273600,15900.0,001.002.2780,2026-05-13
WOM,ZTE Nubia Neo 3 5G 256GB Black Bundle,ZTE,180000,156000,329990.0,156000,10000.0,001.002.2821,2026-05-13
WOM,Xiaomi Redmi A5 4G 128GB Black,Xiaomi,100800,88800,139990.0,88800,6000.0,001.002.2788,2026-05-13
WOM,Apple iPhone 16 5G 128GB Black,Apple,919200,799200,949990.0,799200,36200.0,001.002.2672,2026-05-13
WOM,Apple iPhone 16 5G 128GB White,Apple,919200,799200,949990.0,799200,36200.0,001.002.2673,2026-05-13
WOM,Apple iPhone 16 5G 128GB Pink,Apple,919200,799200,949990.0,799200,36200.0,001.002.2674,2026-05-13
WOM,Apple iPhone 16 5G 128GB Ultramarine,Apple,919200,799200,949990.0,799200,36200.0,001.002.2675,2026-05-13
WOM,Apple iPhone 16 5G 128GB Teal,Apple,919200,799200,949990.0,799200,36200.0,001.002.2676,2026-05-13
WOM,Motorola Moto G06 4G 128GB Azul,Motorola,100800,88800,,88800,,001.002.2913,2026-05-13
WOM,Motorola Moto G06 4G 128GB Verde,Motorola,100800,88800,,88800,,001.002.2914,2026-05-13
WOM,Xiaomi 15T Pro 5G 512GB Black,Xiaomi,796800,676800,849990.0,796800,27700.0,001.002.2832,2026-05-13
WOM,Xiaomi 15T Pro 5G 512GB Mocha,Xiaomi,796800,676800,849990.0,796800,27700.0,001.002.2841,2026-05-13
WOM,Motorola Moto G56 5G 256GB Azul,Motorola,220800,196800,299990.0,196800,15500.0,001.002.2823,2026-05-13
WOM,Motorola Moto G56 5G 256GB Verde,Motorola,220800,196800,299990.0,196800,15500.0,001.002.2824,2026-05-13
WOM,Honor Magic 7 Lite 5G 512GB Purple,Honor,360000,316800,449990.0,360000,16000.0,001.002.2745,2026-05-13
WOM,Honor Magic 7 Lite 5G 512GB Black,Honor,360000,316800,449990.0,360000,16000.0,001.002.2746,2026-05-13
WOM,Redmi Note 15 Pro Plus 5G 512GB BD Black,Xiaomi,544800,448800,,448800,,001.002.2921,2026-05-13
WOM,Redmi Note 15 Pro Plus 5G 512GB BD Bronce,Xiaomi,544800,448800,,448800,,001.002.2922,2026-05-13
WOM,Redmi Note 15 Pro Plus 5G 512GB Black,Xiaomi,544800,448800,,448800,,001.002.2927,2026-05-13
WOM,Redmi Note 15 Pro Plus 5G 512GB Bronce,Xiaomi,544800,448800,,448800,,001.002.2928,2026-05-13
WOM,Redmi 15C 4G 128GB Black,Xiaomi,120000,108000,159990.0,108000,7300.0,001.002.2844,2026-05-13
WOM,Redmi 15C 4G 128GB Blue,Xiaomi,120000,108000,159990.0,108000,7300.0,001.002.2896,2026-05-13
WOM,Honor X5c Plus 4G 256GB Silver,Honor,124800,112800,199990.0,112800,8500.0,001.002.2902,2026-05-13
WOM,Honor X5c Plus 4G 256GB Cyan,Honor,124800,112800,199990.0,112800,8500.0,001.002.2903,2026-05-13
WOM,Tecno Pova 6 5G 256GB White,Tecno,136800,124800,249990.0,124800,8800.0,001.002.2939,2026-05-13
WOM,Infinix Hot 60i 5G 128GB Black,Infinix,136800,124800,199990.0,124800,8800.0,001.002.2900,2026-05-13
WOM,Infinix Hot 60i 5G 128GB Blue,Infinix,136800,124800,199990.0,124800,8800.0,001.002.2901,2026-05-13
WOM,Tecno Spark 30 5G 256GB Black,Tecno,180000,156000,279990.0,156000,10100.0,001.002.2908,2026-05-13
WOM,Tecno Spark 30 5G 256GB White,Tecno,180000,156000,279990.0,156000,10100.0,001.002.2909,2026-05-13
WOM,Apple iPhone 17 Pro Max 5G 256GB Silver,Apple,1540800,1492800,1549990.0,1492800,50600.0,001.002.2869,2026-05-13
WOM,Apple iPhone 17 Pro Max 5G 256GB Orange,Apple,1540800,1492800,1549990.0,1492800,50600.0,001.002.2870,2026-05-13
WOM,Apple iPhone 17 Pro Max 5G 256GB Deep Blue,Apple,1540800,1492800,1549990.0,1492800,50600.0,001.002.2871,2026-05-13
WOM,Honor X6b 5G 256GB Black,Honor,144000,132000,229990.0,132000,8500.0,001.002.2737,2026-05-13
WOM,Honor X6b 5G 256GB Green,Honor,144000,132000,229990.0,132000,8500.0,001.002.2738,2026-05-13
WOM,Motorola Moto G06 4G 256GB Azul,Motorola,108000,96000,179990.0,96000,8000.0,001.002.2904,2026-05-13
WOM,Motorola Moto G06 4G 256GB Verde,Motorola,108000,96000,179990.0,96000,8000.0,001.002.2905,2026-05-13
WOM,Samsung Galaxy A36 5G 128GB Black,Samsung,288000,252000,399990.0,252000,16000.0,001.002.2791,2026-05-13
WOM,Apple iPhone 17 Pro 5G 512GB Silver,Apple,1658400,1538400,1689990.0,1538400,55400.0,001.002.2863,2026-05-13
WOM,Apple iPhone 17 Pro 5G 512GB Cosmic Orange,Apple,1658400,1538400,1689990.0,1538400,55400.0,001.002.2864,2026-05-13
WOM,Apple iPhone 17 Pro 5G 512GB Deep Blue,Apple,1658400,1538400,1689990.0,1538400,55400.0,001.002.2865,2026-05-13
WOM,Xiaomi 15T 5G 512GB Black,Xiaomi,616800,496800,629990.0,616800,20500.0,001.002.2830,2026-05-13
WOM,Xiaomi 15T 5G 512GB Silver,Xiaomi,616800,496800,629990.0,616800,20500.0,001.002.2831,2026-05-13
WOM,Xiaomi 15T 5G 512GB Rose,Xiaomi,616800,496800,629990.0,616800,20500.0,001.002.2840,2026-05-13
WOM,Motorola Edge 60 Pro 5G 512GB Gris,Motorola,540000,420000,,420000,,001.002.2915,2026-05-13
WOM,Motorola Edge 60 Pro 5G 512GB Madera,Motorola,540000,420000,799990.0,420000,20100.0,001.002.2970,2026-05-13
WOM,Motorola Edge 60 Pro 5G 512GB Azul,Motorola,540000,420000,,420000,,001.002.2916,2026-05-13
WOM,Motorola Moto G86 Power 5G 256GB Azul,Motorola,244800,220800,349990.0,220800,14200.0,001.002.2825,2026-05-13
WOM,Motorola Moto G86 Power 5G 256GB Lila,Motorola,244800,220800,349990.0,220800,14200.0,001.002.2827,2026-05-13
WOM,Motorola Moto G86 Power 5G 256GB Cereza,Motorola,244800,220800,349990.0,220800,14200.0,001.002.2826,2026-05-13
WOM,Honor 400 Smart 5G 256GB Gold,Honor,237600,213600,349990.0,213600,11600.0,001.002.2819,2026-05-13
WOM,Honor 400 Smart 5G 256GB Silver,Honor,237600,213600,349990.0,213600,11600.0,001.002.2820,2026-05-13
WOM,Apple iPhone 17 Pro 5G 256GB Silver,Apple,1428000,1380000,1429990.0,1380000,46500.0,001.002.2860,2026-05-13
WOM,Apple iPhone 17 Pro 5G 256GB Cosmic Orange,Apple,1428000,1380000,1429990.0,1380000,46500.0,001.002.2861,2026-05-13
WOM,Apple iPhone 17 Pro 5G 256GB Deep Blue,Apple,1428000,1380000,1429990.0,1380000,46500.0,001.002.2862,2026-05-13
WOM,Infinix Note 50X 5G 256GB Grey,Infinix,199200,175200,349990.0,175200,11600.0,001.002.2802,2026-05-13
WOM,Infinix Note 50X 5G 256GB Purple,Infinix,199200,175200,349990.0,175200,11600.0,001.002.2803,2026-05-13
WOM,Motorola Edge 60 Fusion 5G 256GB Azul,Motorola,324000,288000,499990.0,288000,17600.0,001.002.2815,2026-05-13
WOM,Motorola Edge 60 Fusion 5G 256GB Rosa,Motorola,324000,288000,499990.0,288000,17600.0,001.002.2816,2026-05-13
WOM,Motorola Edge 60 Fusion 5G 256GB Verde,Motorola,324000,288000,499990.0,288000,17600.0,001.002.2818,2026-05-13
WOM,Redmi 15 5G 256 GB Black,Xiaomi,208800,184800,279990.0,184800,12400.0,001.002.2842,2026-05-13
WOM,Redmi 15 5G 256 GB Gray,Xiaomi,208800,184800,279990.0,184800,12400.0,001.002.2843,2026-05-13
WOM,Apple iPhone 15 5G 128GB Negro,Apple,792000,672000,999990.0,672000,30500.0,001.002.2486,2026-05-13
WOM,Apple iPhone 15 5G 128GB Rosa,Apple,792000,672000,999990.0,672000,30500.0,001.002.2487,2026-05-13
WOM,Apple iPhone 15 5G 128GB Azul,Apple,792000,672000,999990.0,672000,30500.0,001.002.2489,2026-05-13
WOM,Redmi Note 15 5G 256GB Bundle Black,Xiaomi,280800,244800,,244800,,001.002.2917,2026-05-13
WOM,Redmi Note 15 5G 256GB Bundle Blue,Xiaomi,280800,244800,,244800,,001.002.2918,2026-05-13
WOM,Redmi Note 15 5G 256GB Blue,Xiaomi,280800,244800,,244800,,001.002.2924,2026-05-13
WOM,Redmi Note 15 5G 256GB Black,Xiaomi,280800,244800,,244800,,001.002.2923,2026-05-13
WOM,Motorola Moto G35 5G 256GB Negro,Motorola,136800,124800,249990.0,124800,8100.0,001.002.2906,2026-05-13
WOM,Motorola Moto G35 5G 256GB Verde,Motorola,136800,124800,249990.0,124800,8100.0,001.002.2907,2026-05-13
WOM,Apple iPhone 17 5G 256GB Black,Apple,993600,933600,999990.0,933600,40400.0,001.002.2850,2026-05-13
WOM,Apple iPhone 17 5G 256GB White,Apple,993600,933600,999990.0,933600,40400.0,001.002.2851,2026-05-13
WOM,Apple iPhone 17 5G 256GB Mist Blue,Apple,993600,933600,999990.0,933600,40400.0,001.002.2852,2026-05-13
WOM,Apple iPhone 17 5G 256GB Lavender,Apple,993600,933600,999990.0,933600,40400.0,001.002.2853,2026-05-13
WOM,Apple iPhone 17 5G 256GB Sage,Apple,993600,933600,999990.0,933600,40400.0,001.002.2854,2026-05-13
WOM,Honor Magic 8 Lite 5G 512GB Bundle Green,Honor,448800,388800,,388800,,001.002.2911,2026-05-13
WOM,Honor Magic 8 Lite 5G 512GB Bundle Black,Honor,448800,388800,,388800,,001.002.2910,2026-05-13
WOM,Samsung Galaxy A26 5G 128GB Black,Samsung,218400,194400,299990.0,194400,12300.0,001.002.2790,2026-05-13
WOM,Redmi Note 15 Pro 5G 512GB Bundle Black,Xiaomi,372000,336000,,336000,,001.002.2919,2026-05-13
WOM,Redmi Note 15 Pro 5G 512GB Bundle Silver,Xiaomi,372000,336000,,336000,,001.002.2920,2026-05-13
WOM,Redmi Note 15 Pro 5G 512GB Black,Xiaomi,372000,336000,,336000,,001.002.2925,2026-05-13
WOM,Redmi Note 15 Pro 5G 512GB Silver,Xiaomi,372000,336000,,336000,,001.002.2926,2026-05-13
WOM,Apple iPhone 17e 5G 256GB Black,Apple,686400,686400,699990.0,686400,30000.0,001.002.2942,2026-05-13
WOM,Apple iPhone 17e 5G 256GB Soft Pink,Apple,686400,686400,699990.0,686400,30000.0,001.002.2944,2026-05-13
WOM,Redmi Note 12 Pro 5G Black,Xiaomi,228000,204000,459990.0,204000,16000.0,001.002.2376,2026-06-01
WOM,Redmi Note 12 Pro 5G Blue,Xiaomi,228000,204000,459990.0,204000,23000.0,001.002.2377,2026-06-01
WOM,Redmi Note 12 Pro 5G White,Xiaomi,228000,204000,459990.0,204000,23000.0,001.002.2545,2026-06-01
WOM,Apple iPhone Air 5G 512GB Space Black,Apple,1480800,1360800,1559990.0,1360800,51300.0,001.002.2885,2026-06-01
WOM,ZTE Blade A56 Pro 4G 128GB Grey,ZTE,115200,103200,149990.0,103200,7500.0,001.002.2822,2026-06-01
WOM,Samsung Galaxy A56 5G 128GB Black,Samsung,340800,304800,499990.0,304800,18900.0,001.002.2793,2026-06-01
WOM,Samsung Galaxy S25 FE 5G 128GB Dark Blue,Samsung,568800,448800,799990.0,448800,28650.0,001.002.2848,2026-06-01
WOM,Samsung Galaxy S25 FE 5G 128GB Jet Black,Samsung,568800,448800,799990.0,448800,28650.0,001.002.2964,2026-06-01
WOM,Samsung Galaxy A17 5G 128GB Black,Samsung,172800,148800,229990.0,148800,9700.0,001.002.2845,2026-06-01
WOM,Samsung Galaxy Z Flip7 5G 256GB Jetblack,Samsung,964800,844800,1399990.0,844800,35400.0,001.002.2847,2026-06-01
WOM,Samsung Galaxy Z Flip7 FE 5G 128GB Black,Samsung,818400,698400,1099990.0,698400,31000.0,001.002.2846,2026-06-01
WOM,Xiaomi 15 5G 512GB Black,Xiaomi,624000,600000,999990.0,600000,32800.0,001.002.2773,2026-06-01
WOM,Motorola Edge 40 Neo 5G 256GB Caneel Bay,Motorola,130000,130000,329990.0,130000,13000.0,001.002.2471,2026-06-01
WOM,Motorola Edge 40 Neo 5G 256GB Soothing Sea,Motorola,130000,130000,329990.0,130000,13000.0,001.002.2470,2026-06-01
WOM,Motorola Edge 40 Neo 5G 256GB Black Beauty,Motorola,130000,130000,329990.0,130000,13000.0,001.002.2469,2026-06-01
WOM,Xiaomi 14T 5G 512GB Gray,Xiaomi,356000,320000,599990.0,356000,11500.0,001.002.2666,2026-06-01
WOM,Xiaomi 14T 5G 512GB Black,Xiaomi,356000,320000,599990.0,356000,11500.0,001.002.2667,2026-06-01
WOM,Motorola Edge 50 Fusion 5G 256GB Blue,Motorola,224000,200000,329990.0,200000,14600.0,001.002.2622,2026-06-01
WOM,Motorola Edge 50 Fusion 5G 256GB Pink,Motorola,224000,200000,329990.0,200000,14600.0,001.002.2623,2026-06-01
WOM,Motorola Edge 50 Fusion 5G 256GB Tidal Teal,Motorola,224000,200000,329990.0,200000,14600.0,001.002.2624,2026-06-01
WOM,Apple iPhone 16e 5G 128GB Negro,Apple,667200,547200,699990.0,547200,25100.0,001.002.2767,2026-06-01
WOM,Apple iPhone 16e 5G 128GB Blanco,Apple,667200,547200,699990.0,547200,25100.0,001.002.2768,2026-06-01
WOM,Redmi Note 14 Pro Plus 5G 256GB Black,Xiaomi,314400,285600,529990.0,285600,20600.0,001.002.2752,2026-06-01
WOM,Redmi Note 14 Pro Plus 5G 256GB Blue,Xiaomi,314400,285600,529990.0,285600,20600.0,001.002.2753,2026-06-01
WOM,Apple iPhone Air 5G 256GB Space Black,Apple,1029600,909600,1299990.0,909600,52500.0,001.002.2881,2026-06-01
WOM,Apple iPhone Air 5G 256GB Cloud White,Apple,1029600,909600,1299990.0,909600,52500.0,001.002.2882,2026-06-01
WOM,Apple iPhone Air 5G 256GB Light Gold,Apple,1029600,909600,1299990.0,909600,52500.0,001.002.2883,2026-06-01
WOM,Apple iPhone Air 5G 256GB Sky Blue,Apple,1029600,909600,1299990.0,909600,52500.0,001.002.2884,2026-06-01
WOM,Honor X5c 4G 128GB Black,Honor,110400,98400,,98400,,001.002.2912,2026-06-01
WOM,Redmi Note 14 5G 256GB Black,Xiaomi,268800,220800,349990.0,220800,14300.0,001.002.2748,2026-06-01
WOM,Redmi Note 14 5G 256GB Green,Xiaomi,268800,220800,349990.0,220800,14300.0,001.002.2749,2026-06-01
WOM,Redmi 15C 5G 256GB Black,Xiaomi,168000,144000,209990.0,144000,10600.0,001.002.2833,2026-06-01
WOM,Redmi 15C 5G 256GB Green,Xiaomi,168000,144000,209990.0,144000,10600.0,001.002.2834,2026-06-01
WOM,Apple iPhone 17 Pro Max 5G 512GB Orange,Apple,1804800,1744800,1809990.0,1744800,59500.0,001.002.2873,2026-06-01
WOM,Apple iPhone 17 Pro Max 5G 512GB Deep Blue,Apple,1804800,1744800,1809990.0,1744800,59500.0,001.002.2874,2026-06-01
WOM,Honor 400 Lite 5G 256GB Black Bundle,Honor,283200,247200,399990.0,247200,15900.0,001.002.2804,2026-06-01
WOM,Honor 400 Lite 5G 256GB Black,Honor,283200,247200,399990.0,247200,15900.0,001.002.2779,2026-06-01
WOM,Honor 400 Lite 5G 256GB Silver Bundle,Honor,283200,247200,399990.0,247200,15900.0,001.002.2839,2026-06-01
WOM,Honor 400 Lite 5G 256GB Silver,Honor,283200,247200,399990.0,247200,15900.0,001.002.2780,2026-06-01
WOM,ZTE Nubia Neo 3 5G 256GB Black Bundle,ZTE,170400,146400,329990.0,146400,9500.0,001.002.2821,2026-06-01
WOM,Xiaomi Redmi A5 4G 128GB Black,Xiaomi,100800,88800,139990.0,88800,6000.0,001.002.2788,2026-06-01
WOM,Apple iPhone 16 5G 128GB Black,Apple,919200,799200,949990.0,799200,36200.0,001.002.2672,2026-06-01
WOM,Apple iPhone 16 5G 128GB White,Apple,919200,799200,949990.0,799200,36200.0,001.002.2673,2026-06-01
WOM,Apple iPhone 16 5G 128GB Pink,Apple,919200,799200,949990.0,799200,36200.0,001.002.2674,2026-06-01
WOM,Apple iPhone 16 5G 128GB Ultramarine,Apple,919200,799200,949990.0,799200,36200.0,001.002.2675,2026-06-01
WOM,Apple iPhone 16 5G 128GB Teal,Apple,919200,799200,949990.0,799200,36200.0,001.002.2676,2026-06-01
WOM,Motorola Moto G06 4G 128GB Azul,Motorola,100800,88800,,88800,,001.002.2913,2026-06-01
WOM,Motorola Moto G06 4G 128GB Verde,Motorola,100800,88800,,88800,,001.002.2914,2026-06-01
WOM,Xiaomi 15T Pro 5G 512GB Black,Xiaomi,796800,676800,849990.0,796800,27700.0,001.002.2832,2026-06-01
WOM,Xiaomi 15T Pro 5G 512GB Mocha,Xiaomi,796800,676800,849990.0,796800,27700.0,001.002.2841,2026-06-01
WOM,Motorola Moto G56 5G 256GB Azul,Motorola,181200,157200,299990.0,157200,14500.0,001.002.2823,2026-06-01
WOM,Motorola Moto G56 5G 256GB Verde,Motorola,181200,157200,299990.0,157200,14500.0,001.002.2824,2026-06-01
WOM,Honor Magic 7 Lite 5G 512GB Purple,Honor,360000,316800,449990.0,360000,16000.0,001.002.2745,2026-06-01
WOM,Honor Magic 7 Lite 5G 512GB Black,Honor,360000,316800,449990.0,360000,16000.0,001.002.2746,2026-06-01
WOM,Redmi Note 15 Pro Plus 5G 512GB BD Black,Xiaomi,492000,396000,,396000,,001.002.2921,2026-06-01
WOM,Redmi Note 15 Pro Plus 5G 512GB BD Bronce,Xiaomi,492000,396000,,396000,,001.002.2922,2026-06-01
WOM,Redmi Note 15 Pro Plus 5G 512GB Black,Xiaomi,492000,396000,,396000,,001.002.2927,2026-06-01
WOM,Redmi Note 15 Pro Plus 5G 512GB Bronce,Xiaomi,492000,396000,,396000,,001.002.2928,2026-06-01
WOM,Redmi 15C 4G 128GB Black,Xiaomi,120000,108000,159990.0,108000,7300.0,001.002.2844,2026-06-01
WOM,Redmi 15C 4G 128GB Blue,Xiaomi,120000,108000,159990.0,108000,7300.0,001.002.2896,2026-06-01
WOM,Honor X5c Plus 4G 256GB Silver,Honor,124800,112800,199990.0,112800,8500.0,001.002.2902,2026-06-01
WOM,Honor X5c Plus 4G 256GB Cyan,Honor,124800,112800,199990.0,112800,8500.0,001.002.2903,2026-06-01
WOM,Tecno Pova 6 5G 256GB White,Tecno,136800,124800,249990.0,124800,8800.0,001.002.2939,2026-06-01
WOM,Infinix Hot 60i 5G 128GB Black,Infinix,136800,124800,199990.0,124800,8800.0,001.002.2900,2026-06-01
WOM,Infinix Hot 60i 5G 128GB Blue,Infinix,136800,124800,199990.0,124800,8800.0,001.002.2901,2026-06-01
WOM,Tecno Spark 30 5G 256GB Black,Tecno,180000,156000,279990.0,156000,10100.0,001.002.2908,2026-06-01
WOM,Tecno Spark 30 5G 256GB White,Tecno,180000,156000,279990.0,156000,10100.0,001.002.2909,2026-06-01
WOM,Apple iPhone 17 Pro Max 5G 256GB Silver,Apple,1444800,1396800,1549990.0,1396800,50600.0,001.002.2869,2026-06-01
WOM,Apple iPhone 17 Pro Max 5G 256GB Orange,Apple,1444800,1396800,1549990.0,1396800,50600.0,001.002.2870,2026-06-01
WOM,Apple iPhone 17 Pro Max 5G 256GB Deep Blue,Apple,1444800,1396800,1549990.0,1396800,50600.0,001.002.2871,2026-06-01
WOM,Honor X6b 5G 256GB Black,Honor,144000,132000,229990.0,132000,8500.0,001.002.2737,2026-06-01
WOM,Honor X6b 5G 256GB Green,Honor,144000,132000,229990.0,132000,8500.0,001.002.2738,2026-06-01
WOM,Motorola Moto G06 4G 256GB Azul,Motorola,108000,96000,179990.0,96000,8000.0,001.002.2904,2026-06-01
WOM,Motorola Moto G06 4G 256GB Verde,Motorola,108000,96000,179990.0,96000,8000.0,001.002.2905,2026-06-01
WOM,Samsung Galaxy A36 5G 128GB Black,Samsung,288000,252000,399990.0,252000,16000.0,001.002.2791,2026-06-01
WOM,Apple iPhone 17 Pro 5G 512GB Silver,Apple,1658400,1538400,1689990.0,1538400,55400.0,001.002.2863,2026-06-01
WOM,Apple iPhone 17 Pro 5G 512GB Cosmic Orange,Apple,1658400,1538400,1689990.0,1538400,55400.0,001.002.2864,2026-06-01
WOM,Apple iPhone 17 Pro 5G 512GB Deep Blue,Apple,1658400,1538400,1689990.0,1538400,55400.0,001.002.2865,2026-06-01
